,Team,Position,Rank,PLAYER_NAME,Report,Impact
68,Chicago Bulls,PF,10,Bobby Portis,,
69,Chicago Bulls,PF,11,Cristiano Felicio,,
70,Chicago Bulls,C,12,Pau Gasol,"In an interview with Spanish newspaper Marca, Pau Gasol said that the Spurs would be an ""interesting option"" in free agency this summer.","""There’s talk about passing of the torch with San Antonio and a hypothetical passing of the torch with [Tim] Duncan,"" Gasol said. ""For starters, nobody knows if Tim is retiring and he’s somebody whom I have maximum respect for. In closing, I have to admit the Spurs would be an interesting option for me."" The Bulls took a massive risk by not dealing Gasol at the trade deadline, and there's a good chance that he leaves Chicago this summer in the pursuit of another ring. To be clear, a move to San Antonio wouldn't be great for his fantasy value."
71,Chicago Bulls,C,13,Joakim Noah,The Timberwolves may try and go after Joakim Noah as an unrestricted free agent this offseason.,"Noah's agent Bill Duffy also represents Andrew Wiggins and Zach LaVine, and given the mutual respect between Noah and newly appointed head coach Tom Thibodeau, Minnesota could be on the radar for Noah. If Noah does wind up in Minnesota, that wouldn't be great news for Gorgui Dieng's fantasy outlook."
72,Chicago Bulls,C,14,Cameron Bairstow,,
73,Cleveland Cavaliers,PG,0,Kyrie Irving,,
74,Cleveland Cavaliers,PG,1,Matthew Dellavedova,,
75,Cleveland Cavaliers,PG,2,Mo Williams,,
76,Cleveland Cavaliers,SG,3,J.R. Smith,,
77,Cleveland Cavaliers,SG,4,Iman Shumpert,,
78,Cleveland Cavaliers,SG,5,James Jones,,
79,Cleveland Cavaliers,SG,6,Dahntay Jones,,
80,Cleveland Cavaliers,SG,7,Jordan McRae,,
81,Cleveland Cavaliers,SF,8,LeBron James,,
82,Cleveland Cavaliers,SF,9,Richard Jefferson,,
83,Cleveland Cavaliers,PF,10,Kevin Love,,
84,Cleveland Cavaliers,PF,11,Channing Frye,,
85,Cleveland Cavaliers,C,12,Tristan Thompson,,
86,Cleveland Cavaliers,C,13,Timofey Mozgov,,
87,Cleveland Cavaliers,C,14,Sasha Kaun,,
88,Dallas Mavericks,PG,0,Deron Williams,Deron Williams (hernia) intends to opt out of his contract with Dallas for the 2016-17 season.,"He will look for a multi-year contract in free agency, but there is said to be mutual interest between Williams and Dallas for a return. ""I would love to be back,"" Williams said during his exit interviews. ""This was a great year for me. My family is settled and happy here, so it'd definitely be great to be back."" Williams averaged 14.1 points and 5.8 assists this season and played well for the most part, but he struggled with injuries once again and a sports hernia ended his 2015-16 campaign. He will need surgery to correct the issue, but he's expected to be healthy by training camp."
89,Dallas Mavericks,PG,1,Jose Juan Barea,J.J. Barea is set to undergo arthroscopic surgery on his right knee later this week in order to clean up his meniscus.,"Arthroscopic surgery is usually only a 4-6 week recovery period, and Barea said he's still hopeful to play for Puerto Rico at the Olympics this summer. He has plenty of time to rest up for the 2016-17 season, but it's unlikely he plays enough at the start of the year to warrant a draft selection in standard formats."
90,Dallas Mavericks,SG,2,Wesley Matthews,,
91,Dallas Mavericks,SG,3,Raymond Felton,,
92,Dallas Mavericks,SG,4,Devin Harris,,
93,Dallas Mavericks,SF,5,Chandler Parsons,Chandler Parsons is expected to opt out of his contract and become an unrestricted free agent.,"Parsons has a $16M option, but it looks like it's just a matter of time until he officially declines it. CP's tenure (to date) has not gone according to plan in Dallas, and it's nowhere near certain that he'll return to the Mavs. Despite knee issues hampering his two-year run with the Mavs, Parsons figures to be a desired commodity on the open market and could command more money than Mark Cuban's team feels comfortable paying. In what has become an annual tradition, Dallas could be looking at some serious roster shuffling around Dirk Nowitzki this summer. We think Dirk deserves better for everything he's done and every sacrifice he's made for this franchise, but that's another story entirely. For what it's worth, President of Basketball Operations Donnie Nelson has been non-committal about a potential Parsons return."
94,Dallas Mavericks,SF,6,Justin Anderson,,
95,Dallas Mavericks,SF,7,Jeremy Evans,Jeremy Evans (right shoulder surgery) will miss the rest of the season.,Evans underwent arthroscopic surgery to repair a torn labrum on his right shoulder on Thursday and will miss the rest of the season. He wasn't part of the Mavs rotation when healthy and can be dropped in all fantasy leagues at this point.
96,Dallas Mavericks,PF,8,Dirk Nowitzki,,
97,Dallas Mavericks,PF,9,Dwight Powell,,
98,Dallas Mavericks,PF,10,Charlie Villanueva,,
99,Dallas Mavericks,C,11,Zaza Pachulia,,
100,Dallas Mavericks,C,12,David Lee,David Lee (foot) is in a walking boot and has been ruled out of the remainder of the first round.,"Dallas is down 3-1 vs. OKC, and there is no reason for Lee to continue to push through an obvious issue that is limiting his ability to contribute. Given Salah Mejri's (hip) status is up in the air, the options include giving Zaza Pachulia an extended role or going small with Dirk Nowitzki in the middle while deploying some unorthodox lineups. Expect Justin Anderson's role to increase for however long Dallas is able to stay alive."
101,Dallas Mavericks,C,13,Salah Mejri,Salah Mejri (hip) is listed as inactive for Monday.,"This is very odd with Mejri going through his pre-game warmups. Assuming the lineup sheet is accurate, we won't see Mejri out there. JaVale McGee will probably be in the rotation."
102,Dallas Mavericks,C,14,JaVale McGee,,
103,Denver Nuggets,PG,0,Emmanuel Mudiay,,
104,Denver Nuggets,PG,1,D.J. Augustin,,
105,Denver Nuggets,PG,2,Jameer Nelson,,
106,Denver Nuggets,SG,3,Gary Harris,,
107,Denver Nuggets,SF,4,Danilo Gallinari,Nuggets GM Tim Connelly said that Danilo Gallinari (ankle) was close to being an All-Star this season.,"""I think Gallinari, with more team success, would have been an All-Star this year,"" Connelly said. ""I’m so proud of how he bounced back from a major injury. He’s fully back, back better than ever. You’d be hard-pressed to find 10 tougher offensive matchups in the NBA."" An unfortunate ankle injury cut his season short, but he looked great this year with averages of 19.5 points, 5.3 boards, 2.5 assists, 0.8 steals and 1.6 3-pointers on 41.0 percent shooting. He has some durability concerns, but he will be a nice mid-round pick next season."
108,Denver Nuggets,SF,5,Will Barton,,
109,Denver Nuggets,SF,6,Mike Miller,,
110,Denver Nuggets,SF,7,JaKarr Sampson,,
111,Denver Nuggets,PF,8,Kenneth Faried,,
112,Denver Nuggets,PF,9,Darrell Arthur,,
113,Denver Nuggets,PF,10,Wilson Chandler,"Wilson Chandler (hip surgery) is progressing ahead of schedule, but he remains out for the season.","""Probably if the season was longer [they would let me play],"" Chandler said. ""But if we don't make the playoffs there's no sense in rushing it."" Chandler has been able to do some running and could be cleared to start scrimmaging in May. This means he will be ready to roll for training camp prior to next season, but he will be a risky late-round flier for his shaky injury history."
114,Denver Nuggets,C,11,Nikola Jokic,,
115,Denver Nuggets,C,12,Jusuf Nurkic,,
116,Denver Nuggets,C,13,Joffrey Lauvergne,,
117,Detroit Pistons,PG,0,Reggie Jackson,,
118,Detroit Pistons,PG,1,Spencer Dinwiddie,,
119,Detroit Pistons,PG,2,Steve Blake,,
120,Detroit Pistons,SG,3,Kentavious Caldwell-Pope,,
121,Detroit Pistons,SG,4,Darrun Hilliard,,
122,Detroit Pistons,SG,5,Jodie Meeks,,
123,Detroit Pistons,SF,6,Marcus Morris,,
124,Detroit Pistons,SF,7,Stanley Johnson,,
125,Detroit Pistons,SF,8,Reggie Bullock,Reggie Bullock (leg) will not play vs. the Cavaliers on Sunday.,"Bullock has an inflamed nerve in his left leg and could miss more time. His absence doesn't have a big impact on the Pistons' rotation, though it could shift extra minutes to Stanley Johnson and Kentavious Caldwell-Pope."
126,Detroit Pistons,PF,9,Tobias Harris,,
127,Detroit Pistons,PF,10,Anthony Tolliver,,
128,Detroit Pistons,C,11,Andre Drummond,,
129,Detroit Pistons,C,12,Aron Baynes,,
130,Detroit Pistons,C,13,Joel Anthony,,
131,Golden State Warriors,PG,0,Stephen Curry,Stephen Curry (knee) was only a partial participant in practice on Friday and remains out for Game 3.,"He did do some light shooting with a knee brace. The Warriors may be targeting Game 4 for Curry's return, but that might change with a 3-0 later after Saturday. Plus, coach Steve Kerr has said Curry only has a slight chance for Game 4."
132,Golden State Warriors,PG,1,Shaun Livingston,,
133,Golden State Warriors,SG,2,Klay Thompson,,
134,Golden State Warriors,SG,3,Brandon Rush,,
135,Golden State Warriors,SG,4,Leandro Barbosa,,
136,Golden State Warriors,SG,5,Ian Clark,,
137,Golden State Warriors,SF,6,Harrison Barnes,,
138,Golden State Warriors,SF,7,Andre Iguodala,,
139,Golden State Warriors,PF,8,Draymond Green,,
140,Golden State Warriors,PF,9,Marreese Speights,,
141,Golden State Warriors,PF,10,James Michael McAdoo,,
142,Golden State Warriors,PF,11,Kevon Looney,Kevon Looney had arthroscopic left hip surgery to repair a torn labrum and will miss the next 4-6 months.,He's had hip problems since his college days and that's why he slipped to 30 in the draft. Looney may miss the start of training camp.
143,Golden State Warriors,C,12,Andrew Bogut,,
144,Golden State Warriors,C,13,Festus Ezeli,,
145,Golden State Warriors,C,14,Anderson Varejao,,
146,Houston Rockets,PG,0,Patrick Beverley,,
147,Houston Rockets,SG,1,James Harden,,
148,Houston Rockets,SG,2,Jason Terry,,
149,Houston Rockets,SG,3,Andrew Goudelock,,
150,Houston Rockets,SF,4,Trevor Ariza,,
151,Houston Rockets,SF,5,Corey Brewer,,
152,Houston Rockets,SF,6,KJ McDaniels,,
153,Houston Rockets,SF,7,Sam Dekker,Sam Dekker is with the Rockets in Dallas and is scheduled to have a checkup visit with his doctor to determine where he is at in his recovery from back surgery.,"We'll be sure to update Dekker's status after his checkup, but even if he's cleared to play, he won't be a large enough part of the rotation in Houston to make a difference in any setting. He belongs on the wire in all re-draft leagues."
154,Houston Rockets,PF,8,Donatas Motiejunas,,
155,Houston Rockets,PF,9,Michael Beasley,,
156,Houston Rockets,PF,10,Clint Capela,,
157,Houston Rockets,PF,11,Terrence Jones,,
158,Houston Rockets,PF,12,Montrezl Harrell,,
159,Houston Rockets,PF,13,Josh Smith,,
160,Houston Rockets,C,14,Dwight Howard,,
161,Indiana Pacers,PG,0,George Hill,,
162,Indiana Pacers,PG,1,Ty Lawson,,
163,Indiana Pacers,PG,2,Joseph Young,,
164,Indiana Pacers,SG,3,Monta Ellis,,
165,Indiana Pacers,SG,4,Rodney Stuckey,,
166,Indiana Pacers,SF,5,Paul George,,
167,Indiana Pacers,SF,6,CJ Miles,,
168,Indiana Pacers,SF,7,Solomon Hill,,
169,Indiana Pacers,SF,8,Glenn Robinson III,,
170,Indiana Pacers,PF,9,Lavoy Allen,,
171,Indiana Pacers,PF,10,Myles Turner,,
172,Indiana Pacers,PF,11,Rakeem Christmas,,
173,Indiana Pacers,C,12,Ian Mahinmi,,
174,Indiana Pacers,C,13,Jordan Hill,,
175,Indiana Pacers,C,14,Shayne Whittington,,
176,Los Angeles Clippers,PG,0,Chris Paul,Chris Paul (right hand) underwent surgery on Tuesday morning and he's expected to miss the next 4-6 weeks of action.,"This effectively ends Paul's postseason run, and it'll be Austin Rivers moving into the starting five, with more Jamal Crawford, J.J. Redick and Jeff Green being asked to do more on the offensive end. Pablo Prigioni should play more as well, but Crawford figures to be the primary beneficiary here sans CP3. With a 4-6 week timetable, Paul has plenty of time to get himself ready for the 2016-17 season."
177,Los Angeles Clippers,PG,1,Pablo Prigioni,,
178,Los Angeles Clippers,PG,2,Austin Rivers,,
179,Los Angeles Clippers,SG,3,JJ Redick,,
180,Los Angeles Clippers,SG,4,Jamal Crawford,,
181,Los Angeles Clippers,SG,5,CJ Wilcox,,
182,Los Angeles Clippers,SF,6,Luc Mbah a Moute,,
183,Los Angeles Clippers,SF,7,Jeff Green,,
184,Los Angeles Clippers,SF,8,Paul Pierce,,
185,Los Angeles Clippers,SF,9,Wes Johnson,,
186,Los Angeles Clippers,PF,10,Blake Griffin,The Clippers announced Blake Griffin (quad) will not play in the 2016 Olympics.,There were some other reports of Griffin not playing in Brazil and now it's official. He's not expected to have surgery on his injured quad and should be ready for the start of next season.
187,Los Angeles Clippers,PF,11,Jeff Ayres,,
188,Los Angeles Clippers,PF,12,Branden Dawson,,
189,Los Angeles Clippers,C,13,DeAndre Jordan,,
190,Los Angeles Clippers,C,14,Cole Aldrich,,
191,Los Angeles Lakers,PG,0,D'Angelo Russell,,
192,Los Angeles Lakers,PG,1,Lou Williams,,
193,Los Angeles Lakers,PG,2,Marcelo Huertas,,
194,Los Angeles Lakers,SG,3,Jordan Clarkson,,
195,Los Angeles Lakers,SG,4,Nick Young,,
196,Los Angeles Lakers,SF,5,Kobe Bryant,,
197,Los Angeles Lakers,SF,6,Ryan Kelly,,
198,Los Angeles Lakers,SF,7,Metta World Peace,,
199,Los Angeles Lakers,SF,8,Anthony Brown,"Anthony Brown (foot) said on Thursday he is ""about 80 percent"" healthy.","He was expected to miss about four weeks back in March, so he should be ready to start his offseason program. Brown picked up some spot starts while the Lakers managed Kobe Bryant's minutes, but he didn't really make his case for minutes next season."
200,Los Angeles Lakers,PF,9,Julius Randle,,
201,Los Angeles Lakers,PF,10,Larry Nance,,
202,Los Angeles Lakers,PF,11,Brandon Bass,,
203,Los Angeles Lakers,C,12,Roy Hibbert,,
204,Los Angeles Lakers,C,13,Tarik Black,,
205,Los Angeles Lakers,C,14,Robert Sacre,,
206,Memphis Grizzlies,PG,0,Mike Conley,Memphis team officials are confident that they will be able to re-sign Mike Conley this summer according to the Memphis Commercial Appeal.,"Conley is obviously the Grizzlies' No. 1 priority this offseason, and they can also offer more money to him than any other team. Regardless, Conley will be the best point guard on the open market this summer, so he's going to get a max deal. A move away from Memphis could actually improve his fantasy value, but he's going to be a stud no matter what."
207,Memphis Grizzlies,PG,1,Xavier Munford,,
208,Memphis Grizzlies,PG,2,Jordan Farmar,,
209,Memphis Grizzlies,PG,3,Bryce Cotton,,
210,Memphis Grizzlies,SG,4,Tony Allen,,
211,Memphis Grizzlies,SG,5,PJ Hairston,,
212,Memphis Grizzlies,SG,6,Vince Carter,,
213,Memphis Grizzlies,SG,7,Jordan Adams,Jordan Adams (knee) is continuing his rehab.,"The Grizzlies failed to provide any kind of meaningful update on Adams all season, so there is really no analysis here until we get some actual information. He's not on the fantasy radar in any format."
214,Memphis Grizzlies,SF,8,Matt Barnes,,
215,Memphis Grizzlies,SF,9,Lance Stephenson,,
216,Memphis Grizzlies,PF,10,Zach Randolph,,
217,Memphis Grizzlies,PF,11,Jarell Martin,Jarell Martin (foot surgery) is unlikely to participate in Summer League.,"Grizzlies general manager Chris Wallace said Martin probably won't play at Summer League as he recovers from surgery to alleviate soreness in his foot. Martin is expected to recover in time for training camp, but he's not a fantasy option in standard leagues."
218,Memphis Grizzlies,C,12,Marc Gasol,"Marc Gasol's rehab from a fractured right foot is ""on schedule.""","Gasol said that there haven't been any setbacks and added that the Grizzlies are being extremely cautious and won't rush the process. He was having a down year prior to the injury with averages of 16.6 points, 7.0 boards, 3.8 assists, 1.3 blocks and 1.0 steals, so the 31-year-old big man might be available at a significant discount in fantasy drafts next season."
219,Memphis Grizzlies,C,13,JaMychal Green,,
220,Memphis Grizzlies,C,14,Brandan Wright,"Brandan Wright (MCL sprain) indicated that he's ""weeks away"" from being 100 percent healthy.","Wright sustained the injury just before March began, so we're working on two months and the big man remains sidelined indefinitely. While he shouldn't have any issue being ready in time for training camp, Wright will only be on next season's fantasy radar if Marc Gasol (foot) sustains a setback in his rehab."
221,Memphis Grizzlies,C,15,Chris Andersen,,
222,Miami Heat,PG,0,Goran Dragic,,
223,Miami Heat,PG,1,Tyler Johnson,,
224,Miami Heat,PG,2,Briante Weber,,
225,Miami Heat,SG,3,Dwyane Wade,,
226,Miami Heat,SG,4,Joe Johnson,,
227,Miami Heat,SG,5,Gerald Green,,
228,Miami Heat,SG,6,Josh Richardson,,
229,Miami Heat,SF,7,Luol Deng,,
230,Miami Heat,SF,8,Justise Winslow,,
231,Miami Heat,SF,9,Dorell Wright,,
232,Miami Heat,PF,10,Chris Bosh,Heat reporter Ira Winderman told 560 WQAM that he doesn't believe Chris Bosh (blood clots) will play in the NBA again.,"Bosh was trying to get clearance from doctors to return to the Heat for the playoffs and even asked the NBPA to step in, but the Heat announced on Wednesday that he has been ruled out for the rest of the postseason. There was simply too much risk for Bosh to return this season, but to be clear his status for the 2016-17 season has yet to be determined."
233,Miami Heat,PF,11,Josh McRoberts,,
234,Miami Heat,PF,12,Udonis Haslem,,
235,Miami Heat,C,13,Hassan Whiteside,,
236,Miami Heat,C,14,Amare Stoudemire,,
237,Minnesota Timberwolves,PG,0,Ricky Rubio,,
238,Minnesota Timberwolves,PG,1,Zach LaVine,,
239,Minnesota Timberwolves,PG,2,Tyus Jones,,
240,Minnesota Timberwolves,SG,3,Andrew Wiggins,,
241,Minnesota Timberwolves,SF,4,Tayshaun Prince,,
242,Minnesota Timberwolves,SF,5,Shabazz Muhammad,,
243,Minnesota Timberwolves,SF,6,Damjan Rudez,,
244,Minnesota Timberwolves,PF,7,Gorgui Dieng,,
245,Minnesota Timberwolves,PF,8,Kevin Garnett,Kevin Garnett hinted that he doesn't know if he will play in the 2016-17 season.,"""I pride myself on being loyal,"" Garnett said. ""I think I've proven that by coming back home to finish my career. I need to see how the next few weeks turn out to truly understand if everyone has that same loyalty. Then I will know what my future holds."" He has one more year left on his deal worth $8 million, but he will be 40 years old in May and missed the last 37 games of the season due to injury. If he does return for one more season, he won't be a fantasy asset."
246,Minnesota Timberwolves,PF,9,Nemanja Bjelica,,
247,Minnesota Timberwolves,PF,10,Adreian Payne,,
248,Minnesota Timberwolves,C,11,Karl-Anthony Towns,,
249,Minnesota Timberwolves,C,12,Greg Smith,,
250,Minnesota Timberwolves,C,13,Nikola Pekovic,Nikola Pekovic (foot) is out indefinitely in order to continue his Achilles rehab.,"The Timberwolves want Pek to work on strengthening calf muscles in order to take pressure off his foot and are hoping he will be able to return this season. It would be a surprise to see that happen as the Timberwolves are lottery-bound, so Gorgui Dieng will continue to reap the rewards of Pekovic's absence."
251,Milwaukee Bucks,PG,0,Jerryd Bayless,Jerryd Bayless (knee) is out for Wednesday night against the Pacers.,"It'll be Rashad Vaughn getting another start, but Tyler Ennis should get some extra run tonight. Bayless is an unrestricted free agent this summer."
252,Milwaukee Bucks,PG,1,Michael Carter-Williams,Bucks general manager John Hammond wants Michael Carter-Williams to work on his shot this summer.,"""Next season; it needs to start happening next season,"" Hammond said of MCW establishing a consistent shot. ""I think a lot of it is having this off-season to work on it."" Hammond added that MCW is a ""really good fit for this team"" on the defensive end, and the PG still believes that he will have a significant role next season even though Giannis Antetokounmpo will be running the offense. ""I think he is definitely going to control the ball a lot more, but he's not going to guard a point guard,"" MCW said. ""I'll be guarding the point guard."""
253,Milwaukee Bucks,PG,2,O.J. Mayo,"O.J. Mayo sustained a fractured right ankle on Thursday morning after tripping while descending the stairs in his home, and he will miss the remainder of the 2015-16 season.","Surgery is a possibility for Mayo, and it's unclear if this injury will impact his status for next season, but we wish Mayo the best in his recovery. With both Michael Carter-Williams (hip) and Mayo set to spend the remainder of the year on the sidelines, Jerryd Bayless and Tyler Ennis will be soaking up all the point guard minutes in Milwaukee. Bayless should be logging over 30 minutes a night as the Bucks starting PG, and he's worth a look in most leagues for those seeking a low-end point guard."
254,Milwaukee Bucks,PG,3,Tyler Ennis,,
255,Milwaukee Bucks,SG,4,Khris Middleton,,
256,Milwaukee Bucks,SG,5,Greivis Vasquez,,
257,Milwaukee Bucks,SG,6,Rashad Vaughn,,
258,Milwaukee Bucks,SF,7,Giannis Antetokounmpo,,
259,Milwaukee Bucks,SF,8,Damien Inglis,,
260,Milwaukee Bucks,SF,9,Steve Novak,"Steve Novak said that his sprained left MCL will not require surgery, and he expects to be able to work out during the summer.","Novak will be an unrestricted free agent this offseason, but the nine-year veteran is not going to be a difference maker in fantasy hoops regardless of where he winds up."
261,Milwaukee Bucks,PF,10,Jabari Parker,,
262,Milwaukee Bucks,PF,11,Johnny O'Bryant,,
263,Milwaukee Bucks,C,12,Greg Monroe,,
264,Milwaukee Bucks,C,13,Miles Plumlee,,
